user,task_types,encoding,target,cut,split,neg_samples,pos_samples,relative_neg_samples,relative_pos_samples
20,pangram,binary,press,True,,62143,616,0.99018467470801,0.009815325291989993
25,all,binary,press,True,,631351,9242,0.9855727427555405,0.01442725724445943
25,text,binary,press,True,,349120,7335,0.9794223674797661,0.02057763252023397
25,uniform,binary,press,True,,201207,1214,0.9940025985446174,0.005997401455382594
25,game,binary,press,True,,43171,84,0.9980580279736446,0.0019419720263553347
25,pangram,binary,press,True,,37853,609,0.9841661900057199,0.01583380999428007
27,all,binary,press,True,,610617,8436,0.9863727338370059,0.013627266162994122
27,text,binary,press,True,,293829,6343,0.9788687818983782,0.021131218101621736
27,uniform,binary,press,True,,208308,1218,0.9941868789553564,0.005813121044643624
27,game,binary,press,True,,73246,220,0.9970054174720279,0.002994582527972123
27,pangram,binary,press,True,,35234,655,0.9817492825099613,0.01825071749003873
28,all,binary,press,True,,539593,9792,0.9821764336485342,0.01782356635146573
28,text,binary,press,True,,298472,7790,0.9745642619717758,0.0254357380282242
28,uniform,binary,press,True,,166194,1293,0.9922799978505794,0.0077200021494205524
28,game,binary,press,True,,42664,46,0.9989229688597518,0.0010770311402481855
28,pangram,binary,press,True,,32263,663,0.9798639373139768,0.020136062686023203
31,all,binary,press,True,,669022,9346,0.9862228171140148,0.013777182885985189
31,text,binary,press,True,,325308,7032,0.9788409460191371,0.02115905398086297
31,uniform,binary,press,True,,226949,1271,0.9944308123740251,0.0055691876259749366
31,game,binary,press,True,,78224,377,0.9952036233635705,0.004796376636429562
31,pangram,binary,press,True,,38541,666,0.9830132374320912,0.016986762567908792
32,all,binary,press,True,,622011,8713,0.9861857167318827,0.013814283268117275
32,text,binary,press,True,,288015,6625,0.9775149334781428,0.02248506652185718
32,uniform,binary,press,True,,238250,1211,0.9949428090586776,0.005057190941322387
32,game,binary,press,True,,62447,241,0.9961555640632976,0.003844435936702399
32,pangram,binary,press,True,,33299,636,0.9812582879033447,0.018741712096655372
33,all,binary,press,True,,1303035,8139,0.9937925858810501,0.006207414118949888
33,text,binary,press,True,,724341,6156,0.9915728606688323,0.008427139331167684
33,uniform,binary,press,True,,423860,1211,0.9971510641751613,0.002848935824838674
33,game,binary,press,True,,61123,97,0.9984155504737015,0.0015844495262985951
33,pangram,binary,press,True,,93711,675,0.9928485156696968,0.007151484330303223
34,all,binary,press,True,,636356,8510,0.9868034599436162,0.013196540056383807
34,text,binary,press,True,,288365,6530,0.9778565252038861,0.022143474796113873
34,uniform,binary,press,True,,255094,1253,0.9951120941536277,0.0048879058463723
34,game,binary,press,True,,62099,88,0.9985849132455337,0.0014150867544663675
34,pangram,binary,press,True,,30798,639,0.9796736329802462,0.020326367019753794
35,all,binary,press,True,,541429,9617,0.9825477364866091,0.017452263513390895
35,text,binary,press,True,,315023,7777,0.9759076827757125,0.024092317224287483
35,uniform,binary,press,True,,162175,1268,0.9922419436745532,0.007758056325446792
35,game,binary,press,True,,44390,97,0.9978195877447344,0.002180412255265583
35,pangram,binary,press,True,,19841,475,0.9766194132703288,0.023380586729671197
36,all,binary,press,True,,1928253,28501,0.9854345513028209,0.014565448697179104
36,text,binary,press,True,,895576,21173,0.9769042562358945,0.02309574376410555
36,uniform,binary,press,True,,638032,3853,0.993997367129626,0.006002632870373977
36,game,binary,press,True,,292899,1594,0.9945873076779415,0.005412692322058589
36,pangram,binary,press,True,,101746,1881,0.981848359983402,0.01815164001659799
37,all,binary,press,True,,600806,8761,0.9856275028011687,0.014372497198831302
37,text,binary,press,True,,274583,6720,0.9761111683842689,0.02388883161573108
37,uniform,binary,press,True,,200461,1199,0.994054348904096,0.005945651095903997
37,game,binary,press,True,,85427,140,0.9983638552245608,0.0016361447754391295
37,pangram,binary,press,True,,40335,702,0.9828934863659624,0.017106513634037576
all,all,binary,press,True,,20019949,260478,0.9871561875891469,0.012843812410853086
all,text,binary,press,True,,10078097,198337,0.9806998225259852,0.01930017747401482
all,uniform,binary,press,True,,6574152,35912,0.9945670722704046,0.005432927729595356
all,game,binary,press,True,,2254131,8367,0.9963018751839781,0.0036981248160219368
all,pangram,binary,press,True,,1113569,17862,0.9842129126743036,0.015787087325696395
